Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,cumulative_frequency
種,323,661141,0.0007704206373322,0.6640418230310315,0.6640418230310159
常,324,658494,0.0007673361161377,0.6648091591471693,0.6648091591471535
移,325,655622,0.0007639894048153,0.6655731485519847,0.6655731485519688
彼,326,654118,0.000762236809471,0.6663353853614558,0.6663353853614398
久,327,652705,0.0007605902554673,0.6670959756169231,0.667095975616907
支,328,651366,0.0007590299328835,0.6678550055498067,0.6678550055497905
族,329,651193,0.0007588283378073,0.6686138338876141,0.6686138338875978
津,330,648778,0.000756014163767,0.6693698480513811,0.6693698480513648
良,331,648627,0.0007558382050589,0.6701256862564401,0.6701256862564237
党,332,645533,0.0007522327994769,0.670877919055917,0.6708779190559006
命,333,640008,0.0007457945752233,0.6716237136311403,0.6716237136311238
再,334,634404,0.0007392642931025,0.6723629779242428,0.6723629779242263
死,335,634234,0.0007390661938947,0.6731020441181376,0.673102044118121
青,336,628592,0.0007324916307745,0.6738345357489122,0.6738345357488955
森,337,627195,0.0007308637214022,0.6745653994703144,0.6745653994702977
師,338,621578,0.0007243182905185,0.6752897177608329,0.6752897177608163
河,339,620502,0.000723064439062,0.6760127821998949,0.6760127821998783
曜,340,620051,0.0007225388935166,0.6767353210934115,0.6767353210933948
夫,341,617327,0.0007193646450339,0.6774546857384455,0.6774546857384287
沢,342,616525,0.0007184300828889,0.6781731158213343,0.6781731158213176
調,343,613118,0.0007144599417066,0.6788875757630409,0.6788875757630242
衆,344,612406,0.0007136302556127,0.6796012060186537,0.6796012060186368
可,345,611905,0.0007130464455944,0.6803142524642481,0.6803142524642313
止,346,610026,0.0007108568667035,0.6810251093309516,0.6810251093309347
司,347,608412,0.0007089760895188,0.6817340854204704,0.6817340854204536
装,348,604771,0.0007047332706034,0.6824388186910739,0.6824388186910569
引,349,603811,0.0007036145927241,0.683142433283798,0.683142433283781
督,350,603443,0.0007031857662036,0.6838456190500016,0.6838456190499846
両,351,601232,0.0007006093112127,0.6845462283612144,0.6845462283611974
十,352,600897,0.0007002189392444,0.6852464473004588,0.6852464473004418
劇,353,598703,0.0006976622941743,0.6859441095946331,0.6859441095946162
配,354,598621,0.0006975667404388,0.686641676335072,0.6866416763350549
題,355,597673,0.0006964620460329,0.6873381383811049,0.6873381383810878
存,356,597043,0.0006957279136746,0.6880338662947795,0.6880338662947624
艦,357,595670,0.0006941279712492,0.6887279942660287,0.6887279942660116
字,358,595007,0.0006933553843387,0.6894213496503675,0.6894213496503503
呼,359,588520,0.0006857961516269,0.6901071458019944,0.6901071458019772
情,360,588297,0.0006855362920778,0.6907926820940722,0.690792682094055
伊,361,586559,0.0006835110190004,0.6914761931130726,0.6914761931130554
声,362,583373,0.0006797984067882,0.692155991519861,0.6921559915198436
果,363,583324,0.0006797413076048,0.6928357328274658,0.6928357328274485
試,364,581867,0.000678043480865,0.6935137763083309,0.6935137763083135
花,365,579375,0.0006751395795365,0.6941889158878675,0.6941889158878499
衛,366,578349,0.0006739439925529,0.6948628598804204,0.6948628598804029
強,367,578278,0.0006738612570014,0.6955367211374218,0.6955367211374043
八,368,577195,0.0006725992485188,0.6962093203859406,0.6962093203859231
奈,369,576085,0.0006713057772208,0.6968806261631615,0.696880626163144
四,370,572847,0.0006675325699568,0.6975481587331184,0.6975481587331007
港,371,571909,0.0006664395284455,0.698214598261564,0.6982145982615462
浜,372,570420,0.0006647044124431,0.6988793026740071,0.6988793026739893
洋,373,568862,0.000662888891468,0.6995421915654751,0.6995421915654574
万,374,563762,0.0006569459152339,0.700199137480709,0.7001991374806913
構,375,563154,0.0006562374192436,0.7008553748999528,0.7008553748999349
住,376,560560,0.0006532146583905,0.7015085895583433,0.7015085895583254
級,377,560344,0.0006529629558676,0.702161552514211,0.702161552514193
論,378,557751,0.0006499413603039,0.7028114938745149,0.7028114938744969
着,379,555779,0.0006476434094933,0.7034591372840083,0.7034591372839902
先,380,555558,0.0006473858805232,0.7041065231645316,0.7041065231645134
達,381,548867,0.0006395889287619,0.7047461120932936,0.7047461120932753
風,382,547879,0.0006384376227778,0.7053845497160715,0.7053845497160531
横,383,545954,0.0006361944405717,0.7060207441566433,0.7060207441566249
博,384,535583,0.0006241092236063,0.7066448533802496,0.7066448533802312
